Source,Target,Interaction
Ets1,Fos,1
Egr1,Fos,1
Cebpb,Fos,1
Stat1,Fos,1
Ets1,Sp3,1
Ets2,Sp3,1
Egr1,Cebpa,1
Cebpb,Cebpa,1
Ctnnb1,Cebpa,1
Jund,Cebpb,1
Fos,Cebpb,1
Cebpa,Cebpb,1
Egr1,Cebpb,1
Cebpa,Jun,1
Egr1,Jun,1
Ctnnb1,Jun,1
Hif1a,Jun,1
Jun,Per1,1
Cebpa,Per1,1
Cebpb,Per1,1
Egr1,Per1,1
Jund,Relb,1
Jun,Relb,1
Nfkb2,Relb,1
Cebpa,Jund,1
Cebpb,Jund,1
Ets1,Jund,1
Nfkb2,Egr1,1
Fos,Nfkb2,1
Egr1,Nfkb2,1
Fos,Ctnnb1,1
Jun,Ctnnb1,1
Cebpb,Ctnnb1,1
Ctnnb1,Hif1a,1
Nfkb2,Stat1,1
Fos,Stat1,1
Cebpb,Stat1,1
Egr1,Stat1,1
Fos,Ets2,1
Nfkb2,Ets2,1
Cebpb,Ets1,1
Fos,Ets1,1
Cebpa,Ets1,1
Jun,Ets1,1
