Source,Target,Interaction
Ets1,Fos,2.0
Egr1,Fos,2.0
Cebpb,Fos,1.0
Stat1,Fos,1.0
Ets1,Sp3,1.0
Ets2,Sp3,2.0
Cebpb,Cebpa,2.0
Ctnnb1,Cebpa,1.0
Jund,Cebpb,1.0
Fos,Cebpb,1.0
Cebpa,Cebpb,1.0
Egr1,Cebpb,1.0
Cebpa,Jun,1.0
Egr1,Jun,2.0
Ctnnb1,Jun,1.0
Hif1a,Jun,1.0
Jun,Per1,1.0
Cebpa,Per1,2.0
Cebpb,Per1,1.0
Egr1,Per1,1.0
Jund,Relb,1.0
Jun,Relb,1.0
Nfkb2,Relb,1.0
Cebpa,Jund,2.0
Cebpb,Jund,1.0
Ets1,Jund,2.0
Nfkb2,Egr1,1.0
Fos,Nfkb2,1.0
Egr1,Nfkb2,1.0
Fos,Ctnnb1,1.0
Jun,Ctnnb1,1.0
Cebpb,Ctnnb1,1.0
Stat1,Hif1a,1.0
Nfkb2,Hif1a,1.0
Ctnnb1,Hif1a,1.0
Fos,Stat1,1.0
Cebpb,Stat1,1.0
Egr1,Stat1,2.0
Fos,Ets2,1.0
Nfkb2,Ets2,1.0
Cebpb,Ets1,1.0
Jund,Ets1,1.0
Jun,Ets1,2.0
