Source,Target,Interaction
Cebpb,Ets1,1
Stat1,Egr1,1
Ets1,Egr1,1
Nfkb2,Egr1,1
Nfkb2,Nfkb1,1
Jun,Nfkb1,1
Cebpb,Nfkb1,1
Cebpb,Stat4,1
Nfkb2,Stat4,1
Rel,Stat4,1
Stat1,Cebpa,1
Cebpb,Cebpa,1
Egr1,Cebpa,1
Ctnnb1,Cebpa,1
Cebpb,Stat1,1
Nfkb1,Stat1,1
Stat4,Stat1,1
Fos,Ets2,1
Cebpb,Ets2,1
Nfkb1,Ets2,1
Nfkb2,Ets2,1
Rel,Ctnnb1,1
Cebpa,Ctnnb1,1
Jun,Ctnnb1,1
Ets1,Ctnnb1,1
Rel,Hif1a,1
Jun,Hif1a,1
Cebpa,Jun,1
Egr1,Jun,1
Ets1,Jun,1
Fos,Jun,1
Nfkb2,Rel,1
Egr1,Rel,1
Ets1,Rel,1
Rel,Nfkb2,1
Jun,Nfkb2,1
Egr1,Nfkb2,1
Jun,Per1,1
Egr1,Per1,1
Nfkb2,Per1,1
Ets1,Per1,1
Egr1,Cebpb,1
Ets1,Cebpb,1
Fos,Cebpb,1
Cebpb,Fos,1
Ets1,Fos,1
Rel,Fos,1
